year,name,color,description
1929,Black Tuesday,#e41a1c,Stock market crash triggering the Great Depression
2000,Dot-com Burst,#377eb8,Collapse of technology stock bubble
2008,Financial Crisis,#4daf4a,Global financial crisis and housing market collapse
