Year,CDI_Return,Inflation_Rate,Real_Return
1986,0.3753245535508285,0.7965643132395195,-0.23446962437382612
1987,4.224493986216543,3.6341351146043035,0.12739353881843996
1988,10.558485450430009,9.802211219272108,0.07001105753316872
1989,24.14047881774484,19.7291228059041,0.21280958452251952
1990,13.59734333943442,16.209664711631156,-0.1517938562993152
1991,6.085367077957539,4.726852241291544,0.23721841937371457
1992,15.442436371085552,11.190924622965635,0.3487439943735515
1993,30.649869821060975,24.771480315791653,0.22809669577526348
1994,11.359032552699782,9.164328636176823,0.2159221720470137
1995,0.5306258304258089,0.2240888016116256,0.25042058093383357
1996,0.27115644049203125,0.09563805563282601,0.16019741552134037
1997,0.24590214142422706,0.052247318164489354,0.18403926521527625
1998,0.2857374717816372,0.01655644167020709,0.2647969351009811
1999,0.25128584568827916,0.08939934506010494,0.14860161368946168
2000,0.17319159140568607,0.05974339393259931,0.10705251679096772
2001,0.17286203417628676,0.07673263015152032,0.08927880639341157
2002,0.19107659186342807,0.12530337079575005,0.05844932377761114
2003,0.23247782086525715,0.09299949329235124,0.1276106058867117
2004,0.16174007159723702,0.07600644138060408,0.07967761801372641
2005,0.18999567591110456,0.056897333458586496,0.1259330856829466
2006,0.15027140394124316,0.031417749683044116,0.11523328379284048
2007,0.11815799714209918,0.04457330433237816,0.07044473806149143
2008,0.1237980248618562,0.05902313417525473,0.06116475513733399
2009,0.09876765005422561,0.043120283296899764,0.053347027805313196
2010,0.09750981955970905,0.05909068347266211,0.036275586865776255
2011,0.11595262271588269,0.0650310904062883,0.04781224958434671
2012,0.08397554715204203,0.05838568997639171,0.024178196491130954
2013,0.08064630790220861,0.059108180800137466,0.02033609738128872
2014,0.10814008223189142,0.06407616596391974,0.04141049078761694
2015,0.13239157789836664,0.10673497995621717,0.02318224182555828
2016,0.13999103064111784,0.06288055054224473,0.07254858512514328
2017,0.09925471455021473,0.029473499083459087,0.06778340144635275
2018,0.06421359508259572,0.03745482121827348,0.02579271243146719
2019,0.059598618337417975,0.04306039984113186,0.01585547538647325
2020,0.027578158163065414,0.04517341500509886,-0.01683477266970823
2021,0.044236197381473774,0.10061054893257904,-0.05122098057826141
2022,0.12390989066133096,0.05784841959607756,0.06244890084581112
2023,0.13039434525537752,0.04621113930566789,0.08046483428343043
2024,0.10875983174468806,0.04831295791859591,0.05766109573433886
2025,0.14324226892249126,0.04264384904568952,0.09648397194197944
